contestId,name,index,points,tags,solvedCount
1010,Rocket,B,750.0,['binary search'],2700
1010,Fly,A,500.0,"['binary search', 'math']",4754
1009,Allowed Letters,G,,"['bitmasks', 'flows', 'graph matchings', 'graphs', 'greedy']",242
1009,Dominant Indices,F,,"['data structures', 'dsu', 'trees']",713
1009,Intercity Travelling,E,,"['combinatorics', 'math', 'probabilities']",1462
1009,Relatively Prime Graph,D,,"['brute force', 'constructive algorithms', 'graphs', 'greedy', 'math']",3225
1009,Annoying Present,C,,"['greedy', 'math']",3235
1009,Minimum Ternary String,B,,"['greedy', 'implementation']",4850
1009,Game Shopping,A,,['implementation'],7399
1008,Turn the Rectangles,B,1000.0,"['greedy', 'sortings']",6539
1008,Romaji,A,500.0,"['implementation', 'strings']",7092
1007,Mini Metro,E,2500.0,['dp'],18
1007,Ants,D,2250.0,"['2-sat', 'data structures', 'trees']",43
1007,Guess two numbers,C,1500.0,['binary search'],143
1007,Pave the Parallelepiped,B,1000.0,"['bitmasks', 'brute force', 'combinatorics', 'math', 'number theory']",573
1007,Reorder the Array,A,500.0,"['combinatorics', 'data structures', 'math', 'sortings', 'two pointers']",6154
1006,Xor-Paths,F,,"['bitmasks', 'brute force', 'dp', 'meet-in-the-middle']",1326
1006,Military Problem,E,,"['dfs and similar', 'graphs', 'trees']",3287
1006,Two Strings Swaps,D,,['implementation'],3001
1006,Three Parts of the Array,C,,"['binary search', 'data structures', 'two pointers']",6246
1006,Polycarp's Practice,B,,"['greedy', 'implementation', 'sortings']",6229
1006,Adjacent Replacements,A,,['implementation'],9426
1005,Berland and the Shortest Paths,F,,"['brute force', 'dfs and similar', 'graphs', 'shortest paths']",569
1005,Median on Segments (General Case Edition),E2,,['sortings'],476
1005,Median on Segments (Permutations Edition),E1,,['sortings'],1667
1005,Polycarp and Div 3,D,,"['dp', 'greedy', 'number theory']",3568
1005,Summarize to the Power of Two,C,,"['brute force', 'greedy', 'implementation']",4702
1005,Delete from the Left,B,,"['brute force', 'implementation', 'strings']",7283
1005,Tanya and Stairways,A,,['implementation'],8501
1004,Sonya and Bitwise OR,F,3000.0,"['bitmasks', 'data structures', 'divide and conquer']",146
1004,Sonya and Ice Cream,E,2500.0,"['binary search', 'dp', 'greedy', 'shortest paths', 'trees']",475
1004,Sonya and Matrix,D,2000.0,"['brute force', 'constructive algorithms', 'implementation']",792
1004,Sonya and Robots,C,1500.0,"['constructive algorithms', 'implementation']",4555
1004,Sonya and Exhibition,B,1000.0,"['constructive algorithms', 'greedy', 'implementation', 'math']",5278
1004,Sonya and Hotels,A,500.0,['implementation'],6692
1003,Abbreviation,F,,"['dp', 'hashing', 'strings']",449
1003,Tree Constructing,E,,"['constructive algorithms', 'graphs']",1080
1003,Coins and Queries,D,,['greedy'],3210
1003,Intense Heat,C,,"['brute force', 'math']",4872
1003,Binary String Constructing,B,,['constructive algorithms'],5056
1003,Polycarp's Pockets,A,,['implementation'],8897
1002,Another array reconstruction algorithm,E2,,[],132
1002,Bernstein-Vazirani algorithm,E1,,[],227
1002,Oracle for majority function,D3,,[],222
1002,Oracle for f(x) = b * x + (1 - b) * (1 - x) mod 2,D2,,[],257
1002,Oracle for f(x) = b * x mod 2,D1,,[],273
1002,Distinguish zero state and plus state without errors,C2,,[],169
1002,Distinguish zero state and plus state with minimum error,C1,,[],191
1002,Distinguish four 2-qubit states - 2,B4,,[],203
1002,Distinguish four 2-qubit states,B3,,[],278
1002,Distinguish GHZ state and W state,B2,,[],296
1002,Distinguish zero state and W state,B1,,[],316
1002,Generate W state,A4,,[],159
1002,Generate superposition of two basis states,A3,,[],298
1002,Generate superposition of zero state and a basis state,A2,,[],355
1002,Generate superposition of all basis states,A1,,[],387
1001,Deutsch-Jozsa algorithm,I,,['*special'],245
1001,Oracle for f(x) = parity of the number of 1s in x,H,,['*special'],311
1001,Oracle for f(x) = k-th element of x,G,,['*special'],333
1001,Distinguish multi-qubit basis states,F,,['*special'],329
1001,Distinguish Bell states,E,,['*special'],342
1001,Distinguish plus state and minus state,D,,['*special'],431
1001,Generate GHZ state,C,,['*special'],399
1001,Generate Bell state,B,,['*special'],437
1001,Generate plus state or minus state,A,,['*special'],602
1000,Two-Paths,G,,"['data structures', 'dp', 'trees']",135
1000,One Occurrence,F,,"['data structures', 'divide and conquer']",685
1000,We Need More Bosses,E,,"['dfs and similar', 'graphs', 'trees']",908
1000,Yet Another Problem On a Subsequence,D,,"['combinatorics', 'dp']",1572
1000,Covered Points Count,C,,"['data structures', 'implementation', 'sortings']",2781
1000,Light It Up,B,,['greedy'],2969
1000,Codehorses T-shirts,A,,"['greedy', 'implementation']",5333
999,Cards and Joy,F,,['dp'],896
999,Reachability from the Capital,E,,"['dfs and similar', 'graphs', 'greedy']",2040
